区域,地址,标题,户型,面积,价格,楼层,建造时间,朝向,更新时间,看房人数,备注,链接地址
劲松租房,农光东里,农光东里好而不贵的两居室。塔楼第二棒的户型,2室1厅,63平米,5200,低楼层(共18层),1994年建塔楼,西,2017.07.17,8, 距离10号线劲松站881米 随时看房 精装修 集中供暖,https://bj.lianjia.com/zufang/101101796995.html
望京租房,望京西园三区,房子精装出租 设计师精心设计 家具家电齐全,2室1厅,111平米,11000,高楼层(共28层),2000年建塔楼,南 北,2017.07.21,7, 距离15号线望京站767米 随时看房 精装修 自供暖,https://bj.lianjia.com/zufang/101101792015.html
定福庄租房,定福庄西街,南北4居复式  交通便利  交通便利  可短租,4室1厅,112平米,7500,高楼层(共6层),1997年建板楼,南 北,2017.07.20,1, 距离八通线传媒大学站653米 随时看房 集中供暖,https://bj.lianjia.com/zufang/101101806366.html
玉桥租房,景馨家园,景馨家园 电梯东南向两居室 随时可看,2室2厅,97平米,3700,低楼层(共18层),2006年建板塔结合,西南,2017.07.22,3, 随时看房 自供暖,https://bj.lianjia.com/zufang/101101807734.html
科技园区租房,新城市经典,新城市经典 正规两居室 精装修 ,2室1厅,87平米,5500,高楼层(共18层),1999年建塔楼,东 南,2017.07.24,1, 距离9号线科怡路站571米 随时看房 精装修 集中供暖,https://bj.lianjia.com/zufang/101101808582.html
梨园租房,新通国际花园,梨园地铁精装两居房拎包入住主卧带阳台,2室1厅,90平米,4800,中楼层(共15层),2009年建板塔结合,南 北,2017.07.21,1, 距离八通线梨园站440米 随时看房 精装修 集中供暖,https://bj.lianjia.com/zufang/101101808596.html
马驹桥租房,合生世界花园,合生世界花园 3室1厅 5000元,3室1厅,154平米,5000,中楼层(共18层),2013年建板楼,南 北,2017.07.19,0, 随时看房 集中供暖,https://bj.lianjia.com/zufang/101101810169.html
西北旺租房,百旺茉莉园,百旺茉莉园精装三居室 可合租 直达软件园 永丰基地,3室2厅,126平米,9500,中楼层(共5层),2005年建板楼,南 北,2017.07.23,2, 距离16号线西北旺站319米 随时看房 精装修 自供暖,https://bj.lianjia.com/zufang/101101810882.html
四季青租房,盲人学校家属楼,四季青 盲人家属楼 南北两居 看房方便 随时入住,2室1厅,55平米,4500,高楼层(共6层),1985年建板楼,南 北,2017.07.24,1, 距离6号线海淀五路居站984米 随时看房,https://bj.lianjia.com/zufang/101101811344.html
后沙峪租房,双裕花园西区,双裕花园西区 2室1厅 4400元,2室1厅,96平米,4400,中楼层(共4层),2003年建板楼,南 北,2017.07.23,1, 随时看房 精装修 自供暖,https://bj.lianjia.com/zufang/101101841060.html
太平桥租房,太平桥西里,太平桥西里 2室1厅 5000元,2室1厅,58平米,5000,高楼层(共6层),1990年建板楼,南 北,2017.07.22,3, 距离9号线六里桥东站530米 随时看房 精装修 集中供暖,https://bj.lianjia.com/zufang/101101841557.html
北大地租房,东安街头条,丰台东安街次顶层两居室出租 随时看房,2室1厅,57平米,3800,高楼层(共6层),1989年建板楼,南 北,2017.07.24,2, 随时看房 集中供暖,https://bj.lianjia.com/zufang/101101817569.html
大望路租房,石韵浩庭,石韵浩庭南北三居室 有钥匙 看房方便 拎包入住,3室2厅,134平米,13000,中楼层(共15层),2004年建板楼,南 北,2017.07.17,2, 距离7号线九龙山站770米 随时看房 集中供暖,https://bj.lianjia.com/zufang/101101818210.html
广渠门租房,保利蔷薇,保利蔷薇精装修一居室集中供暖诚心出租,1室1厅,48平米,5500,低楼层(共9层),2007年建塔楼,北,2017.07.20,5, 距离7号线广渠门内站608米 随时看房 精装修 集中供暖,https://bj.lianjia.com/zufang/101101819016.html
苏州桥租房,万泉庄1号院,南北通透两居室 带小厅 位于人大西门 实际面积65平米,2室1厅,51平米,7300,低楼层(共6层),1985年建板楼,南 北,2017.07.25,4, 距离10号线苏州街站423米 随时看房 集中供暖,https://bj.lianjia.com/zufang/101101821143.html
三里屯租房,三里屯SOHO,高层落地飘窗 视野采光好 带书房。,2室1厅,168平米,26000,高楼层(共28层),2008年建塔楼,东北,2017.07.23,1, 距离10号线团结湖站1000米 随时看房 精装修 集中供暖,https://bj.lianjia.com/zufang/101101821315.html
德胜门租房,冰窖口胡同73号院,积水潭 新外大街 冰窖口胡同  随时看房 价格可谈,2室1厅,57平米,6200,高楼层(共6层),1983年建板楼,南,2017.07.17,4, 距离2号线积水潭站597米 随时看房 集中供暖,https://bj.lianjia.com/zufang/101101823043.html
亚运村小营租房,三空间,三空间精装修朝东一居室，有钥匙随时可看,1室1厅,67平米,8000,低楼层(共15层),2005年建板楼,东,2017.07.24,1, 距离5号线惠新西街北口站633米 随时看房 精装修 集中供暖,https://bj.lianjia.com/zufang/101101847179.html
成寿寺租房,文成建筑,婚房头次出租 带地下车位 双卫生间,3室2厅,162平米,10000,中楼层(共15层),2009年建板楼,南 北,2017.07.24,3, 距离10号线成寿寺站554米 随时看房 精装修 自供暖,https://bj.lianjia.com/zufang/101101825396.html
右安门外租房,玉林里小区,玉林里小区简单装修两居室诚心出租,3室1厅,68平米,5500,中楼层(共6层),1990年建板楼,南 北,2017.07.24,4, 随时看房 集中供暖,https://bj.lianjia.com/zufang/101101806643.html
长阳租房,加州水郡四期,加州水郡四期，全东两居户型，全齐业主诚心出租,2室1厅,88平米,3200,高楼层(共14层),2011年建塔楼,东,2017.07.22,3, 随时看房 精装修 自供暖,https://bj.lianjia.com/zufang/101101808408.html
东直门租房,华普花园,东二环 东直门 华普花园 出租三居室 看房方便,3室1厅,171平米,20000,中楼层(共22层),2001年建塔楼,南,2017.07.14,3, 距离2号线东四十条站323米 随时看房 精装修 集中供暖,https://bj.lianjia.com/zufang/101101812938.html
马甸租房,北三环中路12号院,朝南大两居  精装修  家具家电齐全  交通便利,2室1厅,67平米,6700,高楼层(共12层),1986年建板楼,南,2017.07.26,4, 距离8号线安华桥站675米 随时看房 精装修 集中供暖,https://bj.lianjia.com/zufang/101101817952.html
旧宫租房,清逸园,出入便利，看房方便，业主诚心出租。,2室1厅,90平米,3750,高楼层(共6层),1998年建板楼,南 北,2017.07.23,2, 随时看房 集中供暖,https://bj.lianjia.com/zufang/101101818519.html
北工大租房,禧福汇,禧福汇精致三居室，业主诚意出租,3室2厅,158平米,15000,低楼层(共20层),2010年建板塔结合,南 北,2017.07.27,3, 距离14号线(东段)北工大西门站1063米 随时看房 精装修 集中供暖,https://bj.lianjia.com/zufang/101101819458.html
良乡租房,月华小区,月华小区精装两居，随时看房，拎包入住,2室1厅,85平米,2400,高楼层(共6层),1999年建板楼,南 北,2017.07.19,2, 随时看房 集中供暖,https://bj.lianjia.com/zufang/101101819885.html
方庄租房,天创公馆,天创公馆，两室一厅两卫，东西通透，带车位,2室1厅,113平米,12000,高楼层(共6层),2007年建板楼,东 西,2017.07.22,4, 距离5号线刘家窑站653米 随时看房 精装修 集中供暖,https://bj.lianjia.com/zufang/101101821242.html
常营租房,万象新天天际高尔夫,天际高尔夫精装修南北三居室家具家电全齐,3室1厅,152平米,12800,高楼层(共8层),2008年建板塔结合,南 北,2017.07.24,3, 距离6号线常营站1105米 随时看房 精装修 集中供暖,https://bj.lianjia.com/zufang/101101825291.html
陶然亭租房,太平街甲乙18号院,太平街甲乙18号院 2室1厅 5800元,2室1厅,60平米,5800,高楼层(共6层),1991年建板楼,南 北,2017.07.24,1, 随时看房 集中供暖,https://bj.lianjia.com/zufang/101101837578.html
定慧寺租房,科委宿舍,朝南一居室 带电梯 家具家电全齐 可以长租,1室1厅,35平米,4700,中楼层(共14层),1984年建板塔结合,南,2017.07.25,5, 距离10号线西钓鱼台站861米 随时看房 自供暖,https://bj.lianjia.com/zufang/101101839541.html
良乡租房,月华小区,月华小区精装两居，随时看房，拎包入住,2室1厅,85平米,2400,高楼层(共6层),1999年建板楼,南 北,2017.07.19,2, 随时看房 集中供暖,https://bj.lianjia.com/zufang/101101819885.html
方庄租房,天创公馆,天创公馆，两室一厅两卫，东西通透，带车位,2室1厅,113平米,12000,高楼层(共6层),2007年建板楼,东 西,2017.07.22,4, 距离5号线刘家窑站653米 随时看房 精装修 集中供暖,https://bj.lianjia.com/zufang/101101821242.html
常营租房,万象新天天际高尔夫,天际高尔夫精装修南北三居室家具家电全齐,3室1厅,152平米,12800,高楼层(共8层),2008年建板塔结合,南 北,2017.07.24,3, 距离6号线常营站1105米 随时看房 精装修 集中供暖,https://bj.lianjia.com/zufang/101101825291.html
陶然亭租房,太平街甲乙18号院,太平街甲乙18号院 2室1厅 5800元,2室1厅,60平米,5800,高楼层(共6层),1991年建板楼,南 北,2017.07.24,1, 随时看房 集中供暖,https://bj.lianjia.com/zufang/101101837578.html
中关村租房,中关村,中关村东南向两居室 空房 可改造性大,2室1厅,60平米,6800,中楼层(共6层),1994年建板楼,东南 西,2017.07.22,5, 距离10号线知春路站937米 随时看房 集中供暖,https://bj.lianjia.com/zufang/101101845767.html
武夷花园租房,京贸国际城西区,京贸国际城西区  全南向两居室  装修挺好的  看房随时,2室1厅,80平米,3800,高楼层(共35层),2011年建塔楼,东南,2017.07.27,2, 随时看房 精装修 集中供暖,https://bj.lianjia.com/zufang/101101846502.html
玉泉营租房,万年花城一期,万年花城一期 2室1厅 6500元,2室1厅,92平米,6500,中楼层(共16层),2005年建板楼,南,2017.07.23,2, 距离10号线首经贸站438米 随时看房 精装修 集中供暖,https://bj.lianjia.com/zufang/101101847411.html
良乡租房,绿地新都会,绿地新都会 2室1厅 3500元,2室1厅,87平米,3500,中楼层(共14层),2012年建板塔结合,南,2017.07.24,2, 随时看房 精装修 集中供暖,https://bj.lianjia.com/zufang/101101848517.html
杨庄租房,华信大厦宿舍,华信大厦宿舍 南向一居室 44.75㎡ 3300元,1室1厅,44平米,3300,高楼层(共6层),1995年建板楼,南 北,2017.07.25,2, 随时看房 集中供暖,https://bj.lianjia.com/zufang/101101857718.html
车公庄租房,团结大院,西直门 北礼士路 团结大院 空房三居室 业主诚心出租 ,3室1厅,77平米,8500,中楼层(共6层),1987年建板楼,南 北,2017.07.26,4, 距离2号线西直门站785米 随时看房 精装修 集中供暖,https://bj.lianjia.com/zufang/101101833584.html
亚运村小营租房,凯旋城,凯旋城户型方正好房，房间亮堂，链家有钥匙，随时看,1室0厅,140平米,23000,中楼层(共18层),2005年建塔楼,东北,2017.07.19,3, 距离5号线大屯路东站843米 随时看房 集中供暖,https://bj.lianjia.com/zufang/101101823123.html
通州北苑租房,长桥园公寓,北苑长桥 全新装修 拎包入住 有钥匙 大三居带充电桩,3室1厅,111平米,3800,地下室(共15层),2002年建板楼,南 北,2017.07.23,1, 距离八通线八里桥站839米 随时看房 精装修 自供暖,https://bj.lianjia.com/zufang/101101824064.html
梨园租房,时尚街区西区,时尚街区西区精装两居出租采光好,2室1厅,78平米,3500,低楼层(共20层),2003年建塔楼,西南,2017.07.26,5, 距离八通线梨园站763米 随时看房 精装修 集中供暖,https://bj.lianjia.com/zufang/101101825387.html
清河租房,永泰园,永泰园精装小三居 拎包入住 家具家电齐,3室1厅,56平米,6200,中楼层(共5层),1980年建板楼,南 北,2017.07.26,4, 距离8号线永泰庄站863米 随时看房 精装修 集中供暖,https://bj.lianjia.com/zufang/101101826271.html
酒仙桥租房,海润国际,精装两居两卫 拎包入住 随时起租,2室1厅,124平米,15000,低楼层(共28层),2003年建板塔结合,南,2017.07.21,2, 距离14号线(东段)将台站958米 随时看房 精装修 集中供暖,https://bj.lianjia.com/zufang/101101827351.html
朝阳公园租房,泰华滨河苑,南北通透看房方便随时起租长期稳定,2室2厅,112平米,8500,中楼层(共27层),2005年建板楼,南 北,2017.07.26,3, 距离14号线(东段)东风北桥站1041米 随时看房 精装修 集中供暖,https://bj.lianjia.com/zufang/101101827995.html
北苑租房,北京青年城,朝阳北苑青年城 南北通透两居室 户型方正 看房有钥匙,2室1厅,87平米,6500,中楼层(共6层),2003年建板楼,南 北,2017.07.26,4, 随时看房 精装修 集中供暖,https://bj.lianjia.com/zufang/101101828034.html
朝青租房,华纺易城,朝青 华纺易城 精装两居室出租 可以长租 看房随时,2室1厅,99平米,9000,中楼层(共18层),2005年建板塔结合,南,2017.07.24,4, 距离6号线青年路站1047米 随时看房 精装修 集中供暖,https://bj.lianjia.com/zufang/101101828296.html
公主坟租房,有色院西区,此房是朝南的正规两居室，采光很好,2室1厅,73平米,5500,低楼层(共14层),1996年建板塔结合,南,2017.07.23,4, 距离1号线军事博物馆站1031米 随时看房 集中供暖,https://bj.lianjia.com/zufang/101101830262.html
公主坟租房,翠微中里,公主坟商圈 翠微中里11号楼 舒适一居 ,1室1厅,45平米,5000,高楼层(共6层),1993年建板楼,南,2017.07.20,5, 距离1号线万寿路站1074米 随时看房 集中供暖,https://bj.lianjia.com/zufang/101101830659.html
四季青租房,金庄1号院,海淀四季青  金庄1号院两居室   拎包入住  交通便利,2室1厅,77平米,6300,高楼层(共6层),1998年建板楼,南 北,2017.07.26,5, 随时看房 集中供暖,https://bj.lianjia.com/zufang/101101830830.html
广渠门租房,金世纪嘉园,东二环广渠门金世纪嘉园精装一居室看房随时,1室1厅,58平米,6200,高楼层(共22层),2006年建塔楼,北,2017.07.23,5, 距离7号线广渠门外站702米 随时看房 集中供暖,https://bj.lianjia.com/zufang/101101831001.html
青塔租房,春园,春园精装一居52.93平，高层东南向。,1室1厅,52平米,3500,高楼层(共18层),2000年建塔楼,东南,2017.07.24,3, 随时看房 精装修 集中供暖,https://bj.lianjia.com/zufang/101101839209.html
管庄租房,住欣家园,住欣家园   两居室   押一付三 ,2室1厅,68平米,5000,低楼层(共26层),2010年建塔楼,南,2017.07.27,3, 距离6号线草房站587米 随时看房 精装修 自供暖,https://bj.lianjia.com/zufang/101101840354.html
双井租房,百环家园,百环家园正规一居室  随时入住  随时可看,1室1厅,57平米,5600,高楼层(共27层),2005年建塔楼,东北,2017.07.22,2, 距离10号线双井站917米 随时看房 集中供暖,https://bj.lianjia.com/zufang/101101841039.html
玉泉路租房,玉泉西路甲3号院,安静舒适的两居室，全明格局，采光充足。,2室1厅,67平米,4600,高楼层(共9层),1990年建板塔结合,西,2017.07.21,4, 距离1号线玉泉路站1184米 随时看房 集中供暖,https://bj.lianjia.com/zufang/101101841328.html
阜成门租房,三塔社区,三塔社区 精装修一居室 可长租 价格可聊 温馨舒适,1室1厅,30平米,5500,高楼层(共6层),1978年建板楼,南,2017.07.26,2, 距离6号线车公庄西站271米 随时看房 精装修 集中供暖,https://bj.lianjia.com/zufang/101101841786.html
回龙观租房,天慧园,三改四大户型 家具家电全配 干净整齐 接受合租 ,3室1厅,130平米,6700,中楼层(共7层),2000年建板楼,南 北,2017.07.27,4, 随时看房 精装修 自供暖,https://bj.lianjia.com/zufang/101101810163.html
西红门租房,鸿坤理想城礼域府,礼域府东西通透两居 安静舒适 随时看房,2室1厅,95平米,5500,低楼层(共21层),2012年建板塔结合,东 西,2017.07.26,4, 随时看房 精装修 自供暖,https://bj.lianjia.com/zufang/101101813179.html
定福庄租房,美然动力A2区,6号线褡裢坡 定福庄 美然动力A2区,2室1厅,100平米,6000,高楼层(共14层),2003年建板楼,南 北,2017.07.25,4, 距离6号线褡裢坡站611米 随时看房 精装修 集中供暖,https://bj.lianjia.com/zufang/101101813452.html
车公庄租房,团结大院,西直门 北礼士路 团结大院 空房三居室 业主诚心出租 ,3室1厅,77平米,8500,中楼层(共6层),1987年建板楼,南 北,2017.07.26,4, 距离2号线西直门站785米 随时看房 精装修 集中供暖,https://bj.lianjia.com/zufang/101101833584.html
北京南站租房,翠林一里,翠林一里  带电梯  南向一居室  低楼层 ,1室1厅,49平米,4200,低楼层(共18层),1996年建塔楼,南,2017.07.26,1, 距离4号线北京南站站890米 随时看房 集中供暖,https://bj.lianjia.com/zufang/101101854593.html
安贞租房,安华西里三区,安华西里三区 2室1厅 7200元,2室1厅,54平米,7200,低楼层(共6层),1983年建板楼,东 西,2017.07.26,3, 距离8号线安华桥站865米 随时看房 精装修 集中供暖,https://bj.lianjia.com/zufang/101101855024.html
定福庄租房,定福庄西街,定福庄西街 3室1厅 4500元,3室1厅,68平米,4500,中楼层(共6层),1990年建板楼,南 北,2017.07.24,1, 距离八通线传媒大学站554米 随时看房 集中供暖,https://bj.lianjia.com/zufang/101101855746.html
苏州桥租房,小南庄社区,小南庄社区  小区安静环境好，单独管理。,2室1厅,69平米,6800,高楼层(共6层),1995年建板楼,南 北,2017.07.26,3, 距离10号线苏州街站937米 随时看房 集中供暖,https://bj.lianjia.com/zufang/101101848942.html
石佛营租房,炫特嘉园二期,炫特嘉园二期 1室1厅 5000元,1室1厅,56平米,5000,高楼层(共24层),2004年建塔楼,西北,2017.07.27,1, 距离6号线十里堡站977米 随时看房 集中供暖,https://bj.lianjia.com/zufang/101101849053.html
紫竹桥租房,北洼西里,北洼路财政部宿舍正规朝南一居室,1室1厅,45平米,5200,低楼层(共18层),1989年建塔楼,南,2017.07.26,3, 距离6号线花园桥站1070米 随时看房 精装修 集中供暖,https://bj.lianjia.com/zufang/101101849504.html
天通苑租房,天通苑东一区,天通苑东一区 经典南北通透户型两居室 通风好楼层适中,2室1厅,89平米,4800,中楼层(共6层),2001年建板楼,南 北,2017.07.27,2, 随时看房 精装修 集中供暖,https://bj.lianjia.com/zufang/101101849512.html
霍营租房,华龙苑南里,华龙苑南里  正规一居室 集中供暖  近地铁 长期出租,1室1厅,49平米,4000,低楼层(共6层),1995年建板楼,南 北,2017.07.24,1, 距离8号线霍营站844米 随时看房 集中供暖,https://bj.lianjia.com/zufang/101101850218.html
西红门租房,鸿坤理想城礼域府,鸿坤理想城礼域府 2室1厅 6000元,2室1厅,94平米,6000,中楼层(共18层),2011年建板楼,南 北,2017.07.26,2, 随时看房 自供暖,https://bj.lianjia.com/zufang/101101850761.html
临河里租房,华业东方玫瑰,华业东方玫瑰 2室1厅 4500元,2室1厅,91平米,4500,中楼层(共27层),2012年建板塔结合,南 西,2017.07.26,4, 距离八通线临河里站1080米 随时看房 精装修 集中供暖,https://bj.lianjia.com/zufang/101101851028.html
马家堡租房,星河城东区,星河苑正规一居室  家具家电全齐  适合单身或情侣居住,1室1厅,45平米,4700,中楼层(共18层),2007年建板塔结合,北,2017.07.27,2, 距离4号线公益西桥站302米 随时看房 精装修 集中供暖,https://bj.lianjia.com/zufang/101101851310.html
酒仙桥租房,飘HOME,飘HOME 精装一居室 随时拎包入住,1室1厅,59平米,6500,低楼层(共25层),2004年建塔楼,西,2017.07.26,2, 距离14号线(东段)将台站214米 随时看房 精装修 集中供暖,https://bj.lianjia.com/zufang/101101851600.html
定福庄租房,定福庄西街,定福庄西街     一居室     3500每月,1室1厅,51平米,3500,低楼层(共18层),1999年建塔楼,西,2017.07.26,1, 距离八通线传媒大学站672米 随时看房 集中供暖,https://bj.lianjia.com/zufang/101101851969.html
惠新西街租房,惠新西街33号院,惠新西街33号院 2室1厅 6500元,2室1厅,75平米,6500,低楼层(共17层),1997年建塔楼,西南,2017.07.26,2, 距离5号线惠新西街南口站377米 随时看房 集中供暖,https://bj.lianjia.com/zufang/101101852348.html
东关租房,金隅观澜时代,观景房，精装修，小区环境优美！,2室1厅,85平米,4000,低楼层(共21层),2012年建板楼,南,2017.07.27,1, 随时看房 精装修 集中供暖,https://bj.lianjia.com/zufang/101101852550.html
高碑店租房,南太平庄北巷,南太平庄北巷 2室1厅 5500元,2室1厅,84平米,5500,中楼层(共6层),2004年建板楼,南 西南,2017.07.26,2, 随时看房 精装修 自供暖,https://bj.lianjia.com/zufang/101101852870.html
石佛营租房,石佛营东里小区,石佛营东里南北通透一居室，适宜居住,1室1厅,47平米,4300,中楼层(共6层),1997年建板楼,南 北,2017.07.25,2, 随时看房 集中供暖,https://bj.lianjia.com/zufang/101101853355.html
南沙滩租房,懿品阁,懿品阁 高层南向开间 精装修 看房随时,1室0厅,42平米,5100,高楼层(共18层),2005年建板塔结合,南,2017.07.27,3, 距离15号线北沙滩站1018米 随时看房 集中供暖,https://bj.lianjia.com/zufang/101101853373.html
右安门外租房,百合园,百合园拎包入住朝南一居室短租六个月,1室1厅,54平米,3800,高楼层(共22层),1999年建塔楼,南,2017.07.24,2, 随时看房 集中供暖,https://bj.lianjia.com/zufang/101101843684.html
黄村北租房,旭辉御府,旭辉御府 3室1厅 8000元,3室1厅,167平米,8000,中楼层(共9层),2012年建板楼,南 北,2017.07.26,1, 随时看房 自供暖,https://bj.lianjia.com/zufang/101101844278.html
西单租房,灵境胡同,灵境胡同朝南一居室，家具家电可根据客户来配，可长租,1室1厅,45平米,8000,高楼层(共6层),1998年建板楼,东 南,2017.07.26,3, 距离4号线灵境胡同站582米 随时看房 精装修 集中供暖,https://bj.lianjia.com/zufang/101101844821.html
西直门租房,长河湾,长河湾 3室2厅 23000元,3室2厅,150平米,23000,低楼层(共9层),2005年建板楼,南 北,2017.07.26,1, 距离2号线西直门站896米 随时看房 精装修 集中供暖,https://bj.lianjia.com/zufang/101101844889.html
高碑店租房,兴隆家园,兴隆家园 3室1厅 8500元,3室1厅,100平米,8500,高楼层(共24层),2001年建塔楼,东 南 北,2017.07.26,1, 距离八通线高碑店站1121米 随时看房 集中供暖,https://bj.lianjia.com/zufang/101101845103.html
鲁谷租房,远洋山水,远洋山水正规一室一厅西向出租，看房有钥匙。,1室1厅,64平米,5800,低楼层(共27层),2007年建塔楼,西,2017.07.26,3, 随时看房 精装修 集中供暖,https://bj.lianjia.com/zufang/101101845966.html
六里桥租房,橙色年代,橙色年代正规大两居 家具家电齐全随时可看,2室1厅,88平米,6500,低楼层(共24层),2004年建塔楼,东北,2017.07.23,4, 随时看房 精装修 自供暖,https://bj.lianjia.com/zufang/101101846943.html
新华大街租房,中仓小区,中仓小区 低楼层 精装修南北通透大一居,2室1厅,61平米,2800,低楼层(共6层),1991年建板楼,南 北,2017.07.26,2, 随时看房 精装修 集中供暖,https://bj.lianjia.com/zufang/101101847312.html
右安门内租房,清芷园,清芷园 西北向 两居室 陶然亭地铁,2室1厅,73平米,8500,高楼层(共18层),2000年建板塔结合,西,2017.07.26,2, 距离4号线陶然亭站798米 随时看房 精装修 集中供暖,https://bj.lianjia.com/zufang/101101847677.html
沙河租房,北街家园一区,北街家园纯南向两居室 高楼层 采光充足,2室1厅,73平米,3500,高楼层(共18层),2008年建板楼,南,2017.07.27,4, 随时看房 精装修 集中供暖,https://bj.lianjia.com/zufang/101101847976.html
潞苑租房,新潮嘉园二期,新潮嘉园二期 2室2厅 2800元,2室2厅,103平米,2800,中楼层(共7层),2003年建板楼,南 北,2017.07.27,5, 随时看房 集中供暖,https://bj.lianjia.com/zufang/101101848434.html
车公庄租房,团结大院,西直门 北礼士路 团结大院 空房三居室 业主诚心出租 ,3室1厅,77平米,8500,中楼层(共6层),1987年建板楼,南 北,2017.07.26,4, 距离2号线西直门站785米 随时看房 精装修 集中供暖,https://bj.lianjia.com/zufang/101101833584.html
甘家口租房,增光路43号院,增光路南北两居室，楼层适宜，老少皆宜,2室1厅,61平米,6200,低楼层(共6层),1985年建板楼,南 北,2017.07.26,4, 距离6号线白石桥南站926米 随时看房 集中供暖,https://bj.lianjia.com/zufang/101101862263.html
回龙观租房,天慧园,三改四大户型 家具家电全配 干净整齐 接受合租 ,3室1厅,130平米,6700,中楼层(共7层),2000年建板楼,南 北,2017.07.27,4, 随时看房 精装修 自供暖,https://bj.lianjia.com/zufang/101101810163.html
西红门租房,鸿坤理想城礼域府,礼域府东西通透两居 安静舒适 随时看房,2室1厅,95平米,5500,低楼层(共21层),2012年建板塔结合,东 西,2017.07.26,4, 随时看房 精装修 自供暖,https://bj.lianjia.com/zufang/101101813179.html
定福庄租房,美然动力A2区,6号线褡裢坡 定福庄 美然动力A2区,2室1厅,100平米,6000,高楼层(共14层),2003年建板楼,南 北,2017.07.25,4, 距离6号线褡裢坡站611米 随时看房 精装修 集中供暖,https://bj.lianjia.com/zufang/101101813452.html
回龙观租房,新龙城,新龙城精装两居，家电齐全，交通便利，低价出租,2室1厅,88平米,5700,中楼层(共8层),2006年建板楼,西北,2017.07.25,5, 距离13号线龙泽站790米 随时看房 精装修 自供暖,https://bj.lianjia.com/zufang/101101814112.html
苏州桥租房,万泉河62号院,配套齐全，交通出行方便，苏州街地铁口,2室1厅,85平米,8500,高楼层(共6层),1995年建板楼,东 南,2017.07.21,4, 距离10号线苏州街站492米 随时看房 集中供暖,https://bj.lianjia.com/zufang/101101814211.html
枣园租房,康颐园,大兴黄村康颐园复式出租家具家电可配齐有钥匙,2室1厅,87平米,4000,高楼层(共7层),2000年建板楼,南 西,2017.07.22,2, 距离4号线高米店南站341米 随时看房 集中供暖,https://bj.lianjia.com/zufang/101101814434.html
乔庄租房,玉桥北里,正规的三居室，业主刚刚收拾好房子，很干净,3室1厅,72平米,3200,高楼层(共6层),1992年建板楼,南 北,2017.07.21,1, 随时看房 集中供暖,https://bj.lianjia.com/zufang/101101814739.html
CBD租房,和乔丽致公寓,禾乔丽致公寓 诚意出租 看房随时 有钥匙,1室1厅,61平米,11000,中楼层(共16层),2004年建塔楼,西,2017.07.15,3, 距离1号线大望路站703米 随时看房 精装修 集中供暖,https://bj.lianjia.com/zufang/101101815482.html
乔庄租房,运乔嘉园,运乔嘉园电梯两居室近地铁拎包入住,2室1厅,123平米,4100,中楼层(共11层),2003年建板塔结合,南 北,2017.07.27,3, 随时看房 自供暖,https://bj.lianjia.com/zufang/101101817466.html
鼓楼大街租房,金隅万科城,万科三期精装三居，家电齐全，楼层高，有电梯,3室1厅,111平米,5500,高楼层(共14层),2012年建板塔结合,南 北,2017.07.26,1, 随时看房 精装修 集中供暖,https://bj.lianjia.com/zufang/101101817908.html
大望路租房,后现代城,后现代城  精装两居室 有钥匙  随时可看拎包入住,2室2厅,94平米,9000,中楼层(共28层),2005年建塔楼,西北,2017.07.26,4, 距离7号线大郊亭站971米 随时看房 精装修 集中供暖,https://bj.lianjia.com/zufang/101101818010.html
CBD租房,盛世嘉园,盛世嘉园复式两居   可改三居室  有钥匙 看房随时,2室2厅,161平米,16000,中楼层(共18层),2000年建塔楼,南,2017.07.27,1, 距离1号线大望路站731米 随时看房 集中供暖,https://bj.lianjia.com/zufang/101101818383.html
豆各庄租房,富力又一城C区,房子保持较好 纯东向两居室 家具家电全齐 ,2室1厅,85平米,5500,中楼层(共23层),2011年建塔楼,东,2017.07.27,3, 随时看房 精装修 自供暖,https://bj.lianjia.com/zufang/101101818954.html
长阳租房,加州水郡三期,加州水郡三期 精装两居空房 有钥匙 位置好 随时能看,2室1厅,85平米,3100,低楼层(共10层),2009年建板塔结合,南 北,2017.07.26,3, 随时看房 精装修 自供暖,https://bj.lianjia.com/zufang/101101821166.html
安贞租房,国典华园,10号线安贞门站 优质精装南北两居 家电家具齐 有钥匙,2室1厅,103平米,12000,中楼层(共17层),2005年建塔楼,东 南 北,2017.07.26,3, 距离10号线安贞门站563米 随时看房 精装修 集中供暖,https://bj.lianjia.com/zufang/101101821591.html
西红门租房,月桂庄园,西红门南北两居室，别墅区小两居，有钥匙看房方便,2室1厅,69平米,4200,高楼层(共5层),2002年建板楼,南 北,2017.07.26,3, 距离4号线西红门站866米 随时看房 集中供暖,https://bj.lianjia.com/zufang/101101822337.html
高碑店租房,兴隆家园,兴隆家园 2室1厅 7000元,2室1厅,97平米,7000,中楼层(共23层),2005年建塔楼,西南,2017.07.25,3, 随时看房 精装修 集中供暖,https://bj.lianjia.com/zufang/101101837837.html
鼓楼大街租房,南环里,南环里 三居室 客厅和卧室面积都很大 全明格局 ,3室1厅,119平米,3700,中楼层(共6层),2001年建板楼,南 北,2017.07.23,2, 距离昌平线昌平站1166米 随时看房 集中供暖,https://bj.lianjia.com/zufang/101101832774.html
